suburb,Population,Separate_house,Semi_detached_row,Flat_apartment,other,House_Price_Mean,Offences_Recorded
LYNDHURST,18048,4633,283,28,0,829150,0
OFFICER,19662,6171,405,8,0,650750,0
MOUNT EVELYN,9799,3303,66,0,4,825450,0
KALKALLO,114413,29684,2517,301,3,615625,0
WARRANDYTE SOUTH,34607,10846,872,1015,5,NA,NA
LYSTERFIELD,38484,12559,1033,226,26,1121375,0
GUYS HILL,7655,2193,245,0,76,NA,NA
HURSTBRIDGE,4993,1666,30,0,0,926500,0
WHITTLESEA,9735,2956,249,33,0,680875,8099
WHITTLESEA,9735,2956,249,33,0,680875,1691
WHITTLESEA,9735,2956,249,33,0,680875,1898
WHITTLESEA,9735,2956,249,33,0,680875,4331
MONBULK,3651,1248,39,0,4,734000,0
SILVAN,1323,407,0,0,0,NA,NA
WARBURTON,5951,2261,5,19,24,672600,0
COCKATOO,4638,1500,0,0,0,723075,0
KALLISTA,1418,544,9,0,0,893250,0
BULLENGAROOK,11715,3556,359,33,0,NA,NA
BROOKFIELD,37062,10574,905,17,3,537125,0
BULLA,668,220,0,0,0,NA,NA
SEVILLE,14257,4900,7,8,0,774575,0
OLINDA,1773,638,4,0,0,1056375,0
AVONSLEIGH,7974,2689,22,16,0,797025,0
WILDWOOD,39093,12563,580,1033,0,NA,NA
CASTELLA,10922,3754,292,11,41,NA,NA
PARK ORCHARDS,3835,1157,0,0,0,1896125,0
KALORAMA,1277,464,0,0,0,814625,0
BELGRAVE,9024,3143,51,15,7,790750,0
BEACONSFIELD UPPER,3147,925,0,0,0,945700,0
COLDSTREAM,3306,1092,3,4,0,757200,0
HOPETOUN PARK,25614,8259,760,74,42,NA,NA
TOOLERN VALE,40724,12438,1051,72,8,NA,NA
BELGRAVE SOUTH,9024,3143,51,15,7,1034675,0
DON VALLEY,14257,4900,7,8,0,NA,NA
YARRA GLEN,4080,1344,81,0,0,829025,0
MOUNT DANDENONG,1271,451,8,0,0,868000,0
MENZIES CREEK,2593,845,0,0,0,981375,0
CRANBOURNE SOUTH,117143,32025,3891,520,4,699375,0
WARNEET,3571,1202,0,3,0,713350,0
CROYDON,46296,15399,1565,589,10,930850,0
BELGRAVE HEIGHTS,9024,3143,51,15,7,923625,0
YARRAMBAT,1602,486,0,0,0,NA,NA
VIEWBANK,27045,7239,1339,1514,18,1250250,0
MADDINGLEY,25614,8259,760,74,42,568000,0
YARRA JUNCTION,3764,1138,121,39,54,665950,0
LYSTERFIELD SOUTH,38484,12559,1033,226,26,1533000,0
