"","Suburb","House_price_mean"
"626","SCORESBY",959000
"627","SEA LAKE",127750
"628","SEABROOK",722625
"629","SEAFORD",853250
"630","SEAHOLME",1235250
"631","SEASPRAY",324625
"632","SEBASTOPOL",415125
"633","SEDDON",1189375
"634","SELBY",936625
"635","SEVILLE",774575
"636","SEVILLE EAST",705675
"637","SEYMOUR",398750
"638","SHEPPARTON",367500
"639","SHEPPARTON NORTH",443375
"640","SHOREHAM",1517500
"641","SILVERLEAVES",1161325
"642","SKENES CREEK",936625
"643","SKYE",745250
"644","SMITHS BEACH",869275
"645","SMYTHES CREEK",516575
"646","SMYTHESDALE",494500
"647","SOLDIERS HILL",544625
"648","SOMERS",1636875
"649","SOMERVILLE",777000
"650","SORRENTO",2290125
"651","SOUTH DUDLEY",447500
"652","SOUTH GEELONG",1043750
"653","SOUTH KINGSVILLE",1085325
"654","SOUTH MELBOURNE",1646250
"655","SOUTH MORANG",723375
"656","SOUTH YARRA",2151375
"657","SPOTSWOOD",1222875
"658","SPRING GULLY",553525
"659","SPRINGVALE",854525
"660","SPRINGVALE SOUTH",800500
"661","ST ALBANS",679375
"662","ST ALBANS PARK",590500
"663","ST ANDREWS BEACH",1707250
"664","ST ARNAUD",218125
"665","ST HELENA",1132325
"666","ST KILDA",1607575
"667","ST KILDA EAST",1833750
"668","ST KILDA WEST",2986250
"669","ST LEONARDS",705450
"670","STANHOPE",248625
"671","STAWELL",286875
"672","STRATFORD",376375
"673","STRATHDALE",638625
"674","STRATHFIELDSAYE",649075
"675","STRATHMORE",1568375
"676","STRATHMORE HEIGHTS",996875
"677","STRATHTULLOH",586250
"678","STUDFIELD",1057500
"679","SUNBURY",644875
"680","SUNDERLAND BAY",707875
"681","SUNNYCLIFFS",314000
"682","SUNSET STRIP",607250
"683","SUNSHINE",869625
"684","SUNSHINE NORTH",737300
"685","SUNSHINE WEST",730125
"686","SURF BEACH",760750
"687","SURREY HILLS",2286875
"688","SWAN HILL",354625
"689","SYDENHAM",691875
"690","SYNDAL",1724100
"691","TALLANGATTA",376500
"692","TALLYGAROOPNA",346750
"693","TANGAMBALANGA",488125
"694","TARNEIT",599625
"695","TATURA",357750
"696","TAWONGA",463000
"697","TAWONGA SOUTH",545750
"698","TAYLORS HILL",840200
"699","TAYLORS LAKES",889650
"700","TECOMA",954875
"701","TEMPLESTOWE",1600000
"702","TEMPLESTOWE LOWER",1405000
"703","TERANG",308325
"704","THE BASIN",891250
"705","THE HONEYSUCKLES",449375
"706","THE PATCH",883050
"707","THOMASTOWN",712625
"708","THOMSON (GREATER GEELONG)",547650
"709","THORNBURY",1504250
"710","THORNHILL PARK",581250
"711","TIMBOON",416475
"712","TONGALA",301875
"713","TOONGABBIE",441000
"714","TOORA",415250
"715","TOORADIN",852200
"716","TOORAK",6100000
"717","TOOTGAROOK",863450
"718","TORQUAY",1185625
"719","TRAFALGAR",481250
"720","TRARALGON",407575
"721","TRARALGON EAST",637800
"722","TRAVANCORE",1780000
"723","TRENTHAM",859875
"724","TRUGANINA",613100
"725","TULLAMARINE",746950
"726","TUNGAMAH",261750
"727","TYABB",757500
"728","UPPER FERNTREE GULLY",872950
"729","UPWEY",887125
"730","VENTNOR",772500
"731","VENUS BAY",563250
"732","VERMONT",1230825
"733","VERMONT SOUTH",1419050
"734","VIEWBANK",1250250
"735","VIOLET TOWN",352750
"736","WAHGUNYAH",374275
"737","WALKERVILLE",475400
"738","WALLAN",572500
"739","WALLAN EAST",586200
"740","WANDANA HEIGHTS",917125
"741","WANDIN NORTH",761725
"742","WANGARATTA",425000
"743","WANTIRNA",1055500
"744","WANTIRNA SOUTH",1223125
"745","WARBURTON",672600
"746","WARNEET",713350
"747","WARRACKNABEAL",184375
"748","WARRAGUL",590125
"749","WARRANDYTE",1255000
"750","WARRANWOOD",1156125
"751","WARRNAMBOOL",518875
"752","WATERWAYS",1431375
"753","WATSONIA",977875
"754","WATSONIA NORTH",954700
"755","WATTLE GLEN",974625
"756","WAURN PONDS",741375
"757","WEDDERBURN",172500
"758","WEIR VIEWS",532750
"759","WELSHPOOL",398000
"760","WENDOUREE",456450
"761","WENDOUREE WEST",374500
"762","WERRIBEE",569750
"763","WERRIBEE SOUTH",805625
"764","WEST FOOTSCRAY",1025575
"765","WEST MELBOURNE",1253750
"766","WEST WODONGA",423325
"767","WESTALL",846500
"768","WESTGARTH",2113750
"769","WESTMEADOWS",725375
"770","WHEELERS HILL",1375375
"771","WHITE HILLS",472000
"772","WHITTINGTON",512875
"773","WHITTLESEA",680875
"774","WILLIAMS LANDING",752500
"775","WILLIAMSTOWN",1635250
"776","WILLIAMSTOWN NORTH",1205000
"777","WIMBLEDON HEIGHTS",606375
"778","WINCHELSEA",556000
"779","WINDSOR",1578625
"780","WINTER VALLEY",551875
"781","WODONGA",439750
"782","WOLLERT",634075
"783","WONGA PARK",1250125
"784","WONTHAGGI",541625
"785","WOODEND",886875
"786","WOOLAMAI WATERS",755900
"787","WOORI YALLOCK",648750
"788","WURRUK",370625
"789","WY YUNG",444125
"790","WYCHEPROOF",177750
"791","WYNDHAM VALE",531875
"792","YACKANDANDAH",646750
"793","YALLAMBIE",1027125
"794","YALLOURN NORTH",265700
"795","YARRA GLEN",829025
"796","YARRA JUNCTION",665950
"797","YARRAGON",565625
"798","YARRAM",363875
"799","YARRAVILLE",1184125
"800","YARRAWONGA",563125
"801","YEA",574375
"802","YINNAR",414750
"803","^ means there are less than 10 sales for the quarter
* means there were no sales for the quarter and the first non-zero figure is carried forward
NA means insufficent data was available to create the percentage change ",NA
