"","suburb","Population","Separate_house","Semi_detached_row","Flat_apartment","other","Postcode","CouncilArea","House_price_mean","Type.x","Primary_School_number","Type.y","Pri_Sec_School_number","Type.x.x","Secondary_School_number","Type.y.y","Special_School_number","Type.x.x.x","Camp_School_number","Type.y.y.y","Language_School_number"
"93","ESSENDON WEST",26722,5318,2112,3002,25,3040,"Moonee Valley City Council",1324375,"Primary","0","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"94","FAIRFIELD",12237,2364,1147,1456,11,3078,"Darebin City Council",1756500,"Primary","1","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"95","FAWKNER",14274,3934,726,24,14,3060,"Hume City Council",819375,"Primary","3","Pri/Sec","1","Secondary","1","Special","0","Camp","0","Language","0"
"96","FERNTREE GULLY",38484,12559,1033,226,26,3156,"Knox City Council",865700,"Primary","5","Pri/Sec","0","Secondary","2","Special","1","Camp","0","Language","0"
"97","FITZROY",10431,145,1667,2711,34,3065,"Yarra City Council",1450750,"Primary","2","Pri/Sec","0","Secondary","1","Special","1","Camp","0","Language","0"
"98","FITZROY NORTH",19382,1413,4021,2660,46,3068,"Moreland City Council",1732500,"Primary","3","Pri/Sec","0","Secondary","1","Special","0","Camp","0","Language","0"
"99","FOOTSCRAY",22278,3724,1445,4200,69,3011,"Maribyrnong City Council",974125,"Primary","3","Pri/Sec","0","Secondary","1","Special","0","Camp","0","Language","0"
"100","FOREST HILL",23191,6093,2287,276,3,3131,"Whitehorse City Council",1203775,"Primary","1","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"101","FRANKSTON",56127,17014,3892,1040,45,3199,"Frankston City Council",747700,"Primary","3","Pri/Sec","1","Secondary","2","Special","0","Camp","0","Language","0"
"102","FRANKSTON NORTH",5711,1998,143,0,0,3200,"Frankston City Council",578625,"Primary","1","Pri/Sec","0","Secondary","1","Special","0","Camp","0","Language","0"
"103","FRANKSTON SOUTH",56127,17014,3892,1040,45,3199,"Frankston City Council",1139625,"Primary","3","Pri/Sec","0","Secondary","1","Special","0","Camp","0","Language","0"
"104","GLADSTONE PARK",17912,5270,1523,60,0,3043,"Hume City Council",725250,"Primary","3","Pri/Sec","0","Secondary","1","Special","0","Camp","0","Language","0"
"105","GLEN IRIS",26131,5405,1783,2694,0,3146,"Boroondara City Council",2397500,"Primary","4","Pri/Sec","2","Secondary","0","Special","0","Camp","0","Language","0"
"106","GLEN WAVERLEY",63298,17602,1948,2157,0,3150,"Monash City Council",1557500,"Primary","9","Pri/Sec","0","Secondary","3","Special","1","Camp","0","Language","0"
"107","GLENROY",36772,8140,4466,911,20,3046,"Moreland City Council",843750,"Primary","4","Pri/Sec","1","Secondary","2","Special","1","Camp","0","Language","0"
"108","GOWANBRAE",17912,5270,1523,60,0,3043,"Moreland City Council",961325,"Primary","0","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"109","GREENSBOROUGH",27181,8524,1290,221,0,3088,"Banyule City Council",1003625,"Primary","5","Pri/Sec","0","Secondary","1","Special","1","Camp","0","Language","0"
"110","GREENVALE",21274,6141,192,0,0,3059,"Hume City Council",819075,"Primary","3","Pri/Sec","1","Secondary","0","Special","0","Camp","0","Language","0"
"111","HADFIELD",36772,8140,4466,911,20,3046,"Moreland City Council",878750,"Primary","1","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"112","HAMPTON",18587,4247,1582,1127,51,3188,"Bayside City Council",2412875,"Primary","2","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"113","HAWTHORN",22322,2361,1558,5741,38,3122,"Boroondara City Council",2905250,"Primary","4","Pri/Sec","1","Secondary","1","Special","1","Camp","0","Language","0"
"114","HEATHMONT",20698,7131,471,44,3,3135,"Maroondah City Council",1070375,"Primary","3","Pri/Sec","0","Secondary","1","Special","0","Camp","0","Language","0"
"115","HEIDELBERG",27045,7239,1339,1514,18,3084,"Banyule City Council",1424500,"Primary","2","Pri/Sec","0","Secondary","1","Special","1","Camp","0","Language","0"
"116","HEIDELBERG HEIGHTS",14003,3428,1979,161,4,3081,"Banyule City Council",999875,"Primary","0","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"117","HEIDELBERG WEST",14003,3428,1979,161,4,3081,"Banyule City Council",811375,"Primary","1","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"118","HIGHETT",12007,2573,1381,834,41,3190,"Bayside City Council",1572625,"Primary","1","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"119","HILLSIDE",51402,12656,2841,298,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","HOPPERS CROSSING",129888,33516,3435,985,0,3029,"Wyndham City Council",583500,"Primary","4","Pri/Sec","1","Secondary","1","Special","0","Camp","0","Language","0"
"121","HUGHESDALE",24753,5793,1941,1621,5,3166,"Monash City Council",1443800,"Primary","1","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"122","HUNTINGDALE",24753,5793,1941,1621,5,3166,"Monash City Council",1307325,"Primary","0","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"123","IVANHOE",17055,3820,1208,1593,12,3079,"Banyule City Council",1845450,"Primary","2","Pri/Sec","2","Secondary","0","Special","0","Camp","0","Language","0"
"124","IVANHOE EAST",17055,3820,1208,1593,12,3079,"Banyule City Council",2288750,"Primary","1","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"125","JACANA",21478,4855,865,791,3,3047,"Hume City Council",623750,"Primary","0","Pri/Sec","0","Secondary","0","Special","1","Camp","0","Language","0"
"126","KEILOR DOWNS",26703,7902,976,48,3,3038,"Brimbank City Council",787250,"Primary","3","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"127","KEILOR EAST",15078,4390,1003,46,11,3033,"Brimbank City Council",976500,"Primary","2","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"128","KENSINGTON",17772,1491,3238,3075,33,3031,"Melbourne City Council",1160875,"Primary","2","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"129","KEW",24499,4577,2137,2324,22,3101,"Boroondara City Council",2661875,"Primary","2","Pri/Sec","6","Secondary","0","Special","2","Camp","0","Language","0"
"130","KEW EAST",6620,1563,516,273,0,3102,"Boroondara City Council",1900000,"Primary","2","Pri/Sec","0","Secondary","1","Special","0","Camp","0","Language","0"
"131","KEYSBOROUGH",30018,8144,858,97,0,3173,"Greater Dandenong City Council",927875,"Primary","3","Pri/Sec","4","Secondary","0","Special","0","Camp","0","Language","0"
"132","KINGSVILLE",27023,5798,2803,1892,41,3012,"Maribyrnong City Council",1255000,"Primary","1","Pri/Sec","0","Secondary","0","Special","1","Camp","0","Language","0"
"133","KNOXFIELD",7645,2252,579,8,0,3180,"Knox City Council",991875,"Primary","2","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"134","KURUNJANG",40724,12438,1051,72,8,3337,"Melton City Council",483125,"Primary","0","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"135","LALOR",23219,7016,384,493,5,3075,"Whittlesea City Council",703275,"Primary","4","Pri/Sec","0","Secondary","1","Special","1","Camp","0","Language","0"
"136","LILYDALE",17348,5221,1240,9,61,3140,"Yarra Ranges Shire Council",851950,"Primary","4","Pri/Sec","2","Secondary","3","Special","1","Camp","0","Language","0"
"137","MACLEOD",14050,4122,910,122,8,3085,"Banyule City Council",1162950,"Primary","0","Pri/Sec","1","Secondary","0","Special","0","Camp","0","Language","0"
"138","MACLEOD",14050,4122,910,122,8,3085,"Banyule City Council",1162950,"Primary","0","Pri/Sec","1","Secondary","0","Special","0","Camp","0","Language","0"
"139","MAIDSTONE",27023,5798,2803,1892,41,3012,"Maribyrnong City Council",856875,"Primary","0","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"140","MALVERN",10763,1972,822,1359,151,3144,"Stonnington City Council",2981250,"Primary","2","Pri/Sec","2","Secondary","0","Special","0","Camp","0","Language","0"
"141","MALVERN EAST",23594,4644,2148,1941,142,3145,"Stonnington City Council",2100625,"Primary","4","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"142","MARIBYRNONG",29874,4607,3050,4387,22,3032,"Maribyrnong City Council",1163125,"Primary","1","Pri/Sec","0","Secondary","1","Special","0","Camp","0","Language","0"
"143","MCKINNON",33130,6923,2683,2654,51,3204,"Glen Eira City Council",1954500,"Primary","0","Pri/Sec","0","Secondary","1","Special","0","Camp","0","Language","0"
